city_name;city_code;Indicator;unit;year;value
Zürich;CH04;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;71.5
Zürich;CH04;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;72.9
Zürich;CH04;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2022;74.4
Zürich;CH04;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;57.5
Zürich;CH04;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;58.2
Zürich;CH04;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2022;58.9
Zürich;CH04;Age dependency ratio, 4th variant (population 0 to 24 years and 65 years or over to population 25 to 64 years);Percentage;2022;72.7
Zürich;CH04;Median age of population - females;Year;2016;41.9
Zürich;CH04;Median age of population - females;Year;2020;41.9
Zürich;CH04;Median age of population - females;Year;2022;42.1
Zürich;CH04;Median age of population;Year;2016;41.0
Zürich;CH04;Median age of population;Year;2020;41.0
Zürich;CH04;Median age of population;Year;2022;41.2
Zürich;CH04;Median age of population - males;Year;2016;40.2
Zürich;CH04;Median age of population - males;Year;2020;40.2
Zürich;CH04;Median age of population - males;Year;2022;40.5
Zürich;CH04;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;24.8
Zürich;CH04;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;25.2
Zürich;CH04;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2022;25.5
Zürich;CH04;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;37.9
Zürich;CH04;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;38.8
Zürich;CH04;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2022;39.7
Zürich;CH04;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;26.6
Zürich;CH04;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;27.0
Zürich;CH04;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2022;27.3
Zürich;CH04;Old-age dependency ratio 4th variant (population 65 years or over to population 25 to 64 years);Percentage;2022;29.7
Zürich;CH04;Women per 100 men;Percentage;2016;101.3
Zürich;CH04;Women per 100 men;Percentage;2020;100.8
Zürich;CH04;Women per 100 men;Percentage;2022;100.5
Zürich;CH04;Proportion of population aged 0-14 years;Percentage;2016;15.0
Zürich;CH04;Proportion of population aged 0-14 years;Percentage;2020;15.3
Zürich;CH04;Proportion of population aged 0-14 years;Percentage;2022;15.4
Zürich;CH04;Proportion of population aged 0-19 years;Percentage;2016;19.6
Zürich;CH04;Proportion of population aged 0-19 years;Percentage;2020;19.8
Zürich;CH04;Proportion of population aged 0-19 years;Percentage;2022;19.9
Zürich;CH04;Proportion of population aged 0-4 years;Percentage;2016;5.4
Zürich;CH04;Proportion of population aged 0-4 years;Percentage;2020;5.4
Zürich;CH04;Proportion of population aged 0-4 years;Percentage;2022;5.3
Zürich;CH04;Proportion of population aged 10-14 years;Percentage;2016;4.5
Zürich;CH04;Proportion of population aged 10-14 years;Percentage;2020;4.7
Zürich;CH04;Proportion of population aged 10-14 years;Percentage;2022;4.9
Zürich;CH04;Proportion of population aged 15-19 years;Percentage;2016;4.7
Zürich;CH04;Proportion of population aged 15-19 years;Percentage;2020;4.5
Zürich;CH04;Proportion of population aged 15-19 years;Percentage;2022;4.5
Zürich;CH04;Proportion of population aged 15-24 years;Percentage;2016;10.0
Zürich;CH04;Proportion of population aged 15-24 years;Percentage;2020;9.6
Zürich;CH04;Proportion of population aged 15-24 years;Percentage;2022;9.5
Zürich;CH04;Proportion of population aged 20-24 years;Percentage;2016;5.3
Zürich;CH04;Proportion of population aged 20-24 years;Percentage;2020;5.1
Zürich;CH04;Proportion of population aged 20-24 years;Percentage;2022;5.0
Zürich;CH04;Proportion of population aged 20-39 years;Percentage;2016;28.9
Zürich;CH04;Proportion of population aged 20-39 years;Percentage;2020;28.7
Zürich;CH04;Proportion of population aged 20-39 years;Percentage;2022;28.2
Zürich;CH04;Proportion of population aged 25-29 years;Percentage;2016;7.2
Zürich;CH04;Proportion of population aged 25-29 years;Percentage;2020;7.0
Zürich;CH04;Proportion of population aged 25-29 years;Percentage;2022;6.8
Zürich;CH04;Proportion of population aged 25-44 years;Percentage;2016;31.1
Zürich;CH04;Proportion of population aged 25-44 years;Percentage;2020;31.1
Zürich;CH04;Proportion of population aged 25-44 years;Percentage;2022;30.9
Zürich;CH04;Proportion of population aged 25-49 years;Percentage;2016;39.1
Zürich;CH04;Proportion of population aged 25-49 years;Percentage;2020;38.4
Zürich;CH04;Proportion of population aged 25-49 years;Percentage;2022;38.0
Zürich;CH04;Proportion of population aged 30-34 years;Percentage;2016;8.3
Zürich;CH04;Proportion of population aged 30-34 years;Percentage;2020;8.3
Zürich;CH04;Proportion of population aged 30-34 years;Percentage;2022;8.2
Zürich;CH04;Proportion of population aged 35-39 years;Percentage;2016;8.1
Zürich;CH04;Proportion of population aged 35-39 years;Percentage;2020;8.2
Zürich;CH04;Proportion of population aged 35-39 years;Percentage;2022;8.2
Zürich;CH04;Proportion of population aged 40-44 years;Percentage;2016;7.6
Zürich;CH04;Proportion of population aged 40-44 years;Percentage;2020;7.6
Zürich;CH04;Proportion of population aged 40-44 years;Percentage;2022;7.7
Zürich;CH04;Proportion of population aged 40-59 years;Percentage;2016;29.4
Zürich;CH04;Proportion of population aged 40-59 years;Percentage;2020;29.2
Zürich;CH04;Proportion of population aged 40-59 years;Percentage;2022;29.1
Zürich;CH04;Proportion of population aged 45-49 years;Percentage;2016;8.0
Zürich;CH04;Proportion of population aged 45-49 years;Percentage;2020;7.3
Zürich;CH04;Proportion of population aged 45-49 years;Percentage;2022;7.1
Zürich;CH04;Proportion of population aged 45-64 years;Percentage;2016;27.0
Zürich;CH04;Proportion of population aged 45-64 years;Percentage;2020;27.0
Zürich;CH04;Proportion of population aged 45-64 years;Percentage;2022;27.0
Zürich;CH04;Proportion of population aged 50-54 years;Percentage;2016;7.6
Zürich;CH04;Proportion of population aged 50-54 years;Percentage;2020;7.5
Zürich;CH04;Proportion of population aged 50-54 years;Percentage;2022;7.3
Zürich;CH04;Proportion of population aged 50-64 years;Percentage;2016;19.1
Zürich;CH04;Proportion of population aged 50-64 years;Percentage;2020;19.7
Zürich;CH04;Proportion of population aged 50-64 years;Percentage;2022;19.9
Zürich;CH04;Proportion of population aged 55-59 years;Percentage;2016;6.2
Zürich;CH04;Proportion of population aged 55-59 years;Percentage;2020;6.8
Zürich;CH04;Proportion of population aged 55-59 years;Percentage;2022;7.0
Zürich;CH04;Proportion of population aged 5-9 years;Percentage;2016;5.0
Zürich;CH04;Proportion of population aged 5-9 years;Percentage;2020;5.1
Zürich;CH04;Proportion of population aged 5-9 years;Percentage;2022;5.2
Zürich;CH04;Proportion of population aged 60-64 years;Percentage;2016;5.2
Zürich;CH04;Proportion of population aged 60-64 years;Percentage;2020;5.4
Zürich;CH04;Proportion of population aged 60-64 years;Percentage;2022;5.6
Zürich;CH04;Proportion of population aged 60-79 years;Percentage;2016;17.4
Zürich;CH04;Proportion of population aged 60-79 years;Percentage;2020;17.5
Zürich;CH04;Proportion of population aged 60-79 years;Percentage;2022;17.7
Zürich;CH04;Proportion of population aged 60 years and more;Percentage;2016;22.1
Zürich;CH04;Proportion of population aged 60 years and more;Percentage;2020;22.4
Zürich;CH04;Proportion of population aged 60 years and more;Percentage;2022;22.8
Zürich;CH04;Proportion of population aged 65-69 years;Percentage;2016;4.8
Zürich;CH04;Proportion of population aged 65-69 years;Percentage;2020;4.5
Zürich;CH04;Proportion of population aged 65-69 years;Percentage;2022;4.5
Zürich;CH04;Proportion of population aged 65-79 years;Percentage;2016;12.1
Zürich;CH04;Proportion of population aged 65-79 years;Percentage;2020;12.1
Zürich;CH04;Proportion of population aged 65-79 years;Percentage;2022;12.2
Zürich;CH04;Proportion of population aged 65 years and more;Percentage;2016;16.9
Zürich;CH04;Proportion of population aged 65 years and more;Percentage;2020;17.0
Zürich;CH04;Proportion of population aged 65 years and more;Percentage;2022;17.2
Zürich;CH04;Proportion of population aged 70-74 years;Percentage;2016;4.2
Zürich;CH04;Proportion of population aged 70-74 years;Percentage;2020;4.2
Zürich;CH04;Proportion of population aged 70-74 years;Percentage;2022;4.0
Zürich;CH04;Proportion of population aged 75-79 years;Percentage;2016;3.1
Zürich;CH04;Proportion of population aged 75-79 years;Percentage;2020;3.5
Zürich;CH04;Proportion of population aged 75-79 years;Percentage;2022;3.6
Zürich;CH04;Proportion of population aged 80-84 years;Percentage;2016;2.4
Zürich;CH04;Proportion of population aged 80-84 years;Percentage;2020;2.4
Zürich;CH04;Proportion of population aged 80-84 years;Percentage;2022;2.5
Zürich;CH04;Proportion of population aged 80 years and more;Percentage;2016;4.7
Zürich;CH04;Proportion of population aged 80 years and more;Percentage;2020;4.9
Zürich;CH04;Proportion of population aged 80 years and more;Percentage;2022;5.0
Zürich;CH04;Proportion of population aged 85 years and more;Percentage;2016;2.3
Zürich;CH04;Proportion of population aged 85 years and more;Percentage;2020;2.5
Zürich;CH04;Proportion of population aged 85 years and more;Percentage;2022;2.5
Zürich;CH04;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2016;21.9
Zürich;CH04;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2020;22.6
Zürich;CH04;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2022;22.8
Zürich;CH04;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2016;33.7
Zürich;CH04;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2020;34.2
Zürich;CH04;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2022;34.6
Zürich;CH04;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2016;30.9
Zürich;CH04;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2020;31.3
Zürich;CH04;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2022;31.5
Zürich;CH04;Young-age dependency ratio 4th variant (population 0 to 24 years to population 25 to 64 years);Percentage;2022;43.0
Zentralschweiz;CH06;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2016;47.1
Zentralschweiz;CH06;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2020;49.8
Zentralschweiz;CH06;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2022;51.0
Zentralschweiz;CH06;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;75.9
Zentralschweiz;CH06;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;79.9
Zentralschweiz;CH06;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2022;82.5
Zentralschweiz;CH06;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;59.9
Zentralschweiz;CH06;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;61.6
Zentralschweiz;CH06;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2022;62.8
Zentralschweiz;CH06;Age dependency ratio, 4th variant (population 0 to 24 years and 65 years or over to population 25 to 64 years);Percentage;2022;78.3
Zentralschweiz;CH06;Median age of population - females;Year;2016;42.8
Zentralschweiz;CH06;Median age of population - females;Year;2020;43.6
Zentralschweiz;CH06;Median age of population - females;Year;2022;43.9
Zentralschweiz;CH06;Median age of population;Year;2016;42.2
Zentralschweiz;CH06;Median age of population;Year;2020;43.0
Zentralschweiz;CH06;Median age of population;Year;2022;43.2
Zentralschweiz;CH06;Median age of population - males;Year;2016;41.6
Zentralschweiz;CH06;Median age of population - males;Year;2020;42.3
Zentralschweiz;CH06;Median age of population - males;Year;2022;42.6
Zentralschweiz;CH06;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;25.1
Zentralschweiz;CH06;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;27.2
Zentralschweiz;CH06;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2022;28.2
Zentralschweiz;CH06;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;40.1
Zentralschweiz;CH06;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;44.0
Zentralschweiz;CH06;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2022;46.2
Zentralschweiz;CH06;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;27.3
Zentralschweiz;CH06;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;29.4
Zentralschweiz;CH06;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2022;30.4
Zentralschweiz;CH06;Old-age dependency ratio 4th variant (population 65 years or over to population 25 to 64 years);Percentage;2022;33.3
Zentralschweiz;CH06;Women per 100 men;Percentage;2016;98.8
Zentralschweiz;CH06;Women per 100 men;Percentage;2020;98.4
Zentralschweiz;CH06;Women per 100 men;Percentage;2022;98.4
Zentralschweiz;CH06;Proportion of population aged 0-14 years;Percentage;2016;14.9
Zentralschweiz;CH06;Proportion of population aged 0-14 years;Percentage;2020;15.1
Zentralschweiz;CH06;Proportion of population aged 0-14 years;Percentage;2022;15.1
Zentralschweiz;CH06;Proportion of population aged 0-19 years;Percentage;2016;20.4
Zentralschweiz;CH06;Proportion of population aged 0-19 years;Percentage;2020;20.0
Zentralschweiz;CH06;Proportion of population aged 0-19 years;Percentage;2022;19.9
Zentralschweiz;CH06;Proportion of population aged 0-4 years;Percentage;2016;5.1
Zentralschweiz;CH06;Proportion of population aged 0-4 years;Percentage;2020;5.1
Zentralschweiz;CH06;Proportion of population aged 0-4 years;Percentage;2022;5.1
Zentralschweiz;CH06;Proportion of population aged 10-14 years;Percentage;2016;4.8
Zentralschweiz;CH06;Proportion of population aged 10-14 years;Percentage;2020;4.9
Zentralschweiz;CH06;Proportion of population aged 10-14 years;Percentage;2022;5.0
Zentralschweiz;CH06;Proportion of population aged 15-19 years;Percentage;2016;5.4
Zentralschweiz;CH06;Proportion of population aged 15-19 years;Percentage;2020;4.9
Zentralschweiz;CH06;Proportion of population aged 15-19 years;Percentage;2022;4.8
Zentralschweiz;CH06;Proportion of population aged 15-24 years;Percentage;2016;11.6
Zentralschweiz;CH06;Proportion of population aged 15-24 years;Percentage;2020;10.6
Zentralschweiz;CH06;Proportion of population aged 15-24 years;Percentage;2022;10.1
Zentralschweiz;CH06;Proportion of population aged 20-24 years;Percentage;2016;6.1
Zentralschweiz;CH06;Proportion of population aged 20-24 years;Percentage;2020;5.7
Zentralschweiz;CH06;Proportion of population aged 20-24 years;Percentage;2022;5.3
Zentralschweiz;CH06;Proportion of population aged 20-39 years;Percentage;2016;26.5
Zentralschweiz;CH06;Proportion of population aged 20-39 years;Percentage;2020;26.1
Zentralschweiz;CH06;Proportion of population aged 20-39 years;Percentage;2022;25.7
Zentralschweiz;CH06;Proportion of population aged 25-29 years;Percentage;2016;6.8
Zentralschweiz;CH06;Proportion of population aged 25-29 years;Percentage;2020;6.5
Zentralschweiz;CH06;Proportion of population aged 25-29 years;Percentage;2022;6.3
Zentralschweiz;CH06;Proportion of population aged 25-44 years;Percentage;2016;27.4
Zentralschweiz;CH06;Proportion of population aged 25-44 years;Percentage;2020;27.1
Zentralschweiz;CH06;Proportion of population aged 25-44 years;Percentage;2022;27.2
Zentralschweiz;CH06;Proportion of population aged 25-49 years;Percentage;2016;35.5
Zentralschweiz;CH06;Proportion of population aged 25-49 years;Percentage;2020;34.2
Zentralschweiz;CH06;Proportion of population aged 25-49 years;Percentage;2022;33.9
Zentralschweiz;CH06;Proportion of population aged 30-34 years;Percentage;2016;6.9
Zentralschweiz;CH06;Proportion of population aged 30-34 years;Percentage;2020;6.9
Zentralschweiz;CH06;Proportion of population aged 30-34 years;Percentage;2022;7.0
Zentralschweiz;CH06;Proportion of population aged 35-39 years;Percentage;2016;6.8
Zentralschweiz;CH06;Proportion of population aged 35-39 years;Percentage;2020;7.0
Zentralschweiz;CH06;Proportion of population aged 35-39 years;Percentage;2022;7.1
Zentralschweiz;CH06;Proportion of population aged 40-44 years;Percentage;2016;7.0
Zentralschweiz;CH06;Proportion of population aged 40-44 years;Percentage;2020;6.7
Zentralschweiz;CH06;Proportion of population aged 40-44 years;Percentage;2022;6.8
Zentralschweiz;CH06;Proportion of population aged 40-59 years;Percentage;2016;30.3
Zentralschweiz;CH06;Proportion of population aged 40-59 years;Percentage;2020;29.5
Zentralschweiz;CH06;Proportion of population aged 40-59 years;Percentage;2022;29.1
Zentralschweiz;CH06;Proportion of population aged 45-49 years;Percentage;2016;8.1
Zentralschweiz;CH06;Proportion of population aged 45-49 years;Percentage;2020;7.1
Zentralschweiz;CH06;Proportion of population aged 45-49 years;Percentage;2022;6.8
Zentralschweiz;CH06;Proportion of population aged 45-64 years;Percentage;2016;29.0
Zentralschweiz;CH06;Proportion of population aged 45-64 years;Percentage;2020;29.1
Zentralschweiz;CH06;Proportion of population aged 45-64 years;Percentage;2022;28.9
Zentralschweiz;CH06;Proportion of population aged 50-54 years;Percentage;2016;8.2
Zentralschweiz;CH06;Proportion of population aged 50-54 years;Percentage;2020;8.0
Zentralschweiz;CH06;Proportion of population aged 50-54 years;Percentage;2022;7.6
Zentralschweiz;CH06;Proportion of population aged 50-64 years;Percentage;2016;20.9
Zentralschweiz;CH06;Proportion of population aged 50-64 years;Percentage;2020;22.0
Zentralschweiz;CH06;Proportion of population aged 50-64 years;Percentage;2022;22.1
Zentralschweiz;CH06;Proportion of population aged 55-59 years;Percentage;2016;7.0
Zentralschweiz;CH06;Proportion of population aged 55-59 years;Percentage;2020;7.7
Zentralschweiz;CH06;Proportion of population aged 55-59 years;Percentage;2022;7.9
Zentralschweiz;CH06;Proportion of population aged 5-9 years;Percentage;2016;5.0
Zentralschweiz;CH06;Proportion of population aged 5-9 years;Percentage;2020;5.0
Zentralschweiz;CH06;Proportion of population aged 5-9 years;Percentage;2022;5.0
Zentralschweiz;CH06;Proportion of population aged 60-64 years;Percentage;2016;5.7
Zentralschweiz;CH06;Proportion of population aged 60-64 years;Percentage;2020;6.3
Zentralschweiz;CH06;Proportion of population aged 60-64 years;Percentage;2022;6.6
Zentralschweiz;CH06;Proportion of population aged 60-79 years;Percentage;2016;18.2
Zentralschweiz;CH06;Proportion of population aged 60-79 years;Percentage;2020;19.5
Zentralschweiz;CH06;Proportion of population aged 60-79 years;Percentage;2022;20.2
Zentralschweiz;CH06;Proportion of population aged 60 years and more;Percentage;2016;22.8
Zentralschweiz;CH06;Proportion of population aged 60 years and more;Percentage;2020;24.5
Zentralschweiz;CH06;Proportion of population aged 60 years and more;Percentage;2022;25.3
Zentralschweiz;CH06;Proportion of population aged 65-69 years;Percentage;2016;5.1
Zentralschweiz;CH06;Proportion of population aged 65-69 years;Percentage;2020;5.1
Zentralschweiz;CH06;Proportion of population aged 65-69 years;Percentage;2022;5.3
Zentralschweiz;CH06;Proportion of population aged 65-79 years;Percentage;2016;12.5
Zentralschweiz;CH06;Proportion of population aged 65-79 years;Percentage;2020;13.2
Zentralschweiz;CH06;Proportion of population aged 65-79 years;Percentage;2022;13.6
Zentralschweiz;CH06;Proportion of population aged 65 years and more;Percentage;2016;17.1
Zentralschweiz;CH06;Proportion of population aged 65 years and more;Percentage;2020;18.2
Zentralschweiz;CH06;Proportion of population aged 65 years and more;Percentage;2022;18.7
Zentralschweiz;CH06;Proportion of population aged 70-74 years;Percentage;2016;4.2
Zentralschweiz;CH06;Proportion of population aged 70-74 years;Percentage;2020;4.5
Zentralschweiz;CH06;Proportion of population aged 70-74 years;Percentage;2022;4.5
Zentralschweiz;CH06;Proportion of population aged 75-79 years;Percentage;2016;3.2
Zentralschweiz;CH06;Proportion of population aged 75-79 years;Percentage;2020;3.6
Zentralschweiz;CH06;Proportion of population aged 75-79 years;Percentage;2022;3.8
Zentralschweiz;CH06;Proportion of population aged 80-84 years;Percentage;2016;2.4
Zentralschweiz;CH06;Proportion of population aged 80-84 years;Percentage;2020;2.5
Zentralschweiz;CH06;Proportion of population aged 80-84 years;Percentage;2022;2.6
Zentralschweiz;CH06;Proportion of population aged 80 years and more;Percentage;2016;4.6
Zentralschweiz;CH06;Proportion of population aged 80 years and more;Percentage;2020;5.0
Zentralschweiz;CH06;Proportion of population aged 80 years and more;Percentage;2022;5.1
Zentralschweiz;CH06;Proportion of population aged 85 years and more;Percentage;2016;2.2
Zentralschweiz;CH06;Proportion of population aged 85 years and more;Percentage;2020;2.4
Zentralschweiz;CH06;Proportion of population aged 85 years and more;Percentage;2022;2.5
Zentralschweiz;CH06;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2016;21.9
Zentralschweiz;CH06;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2020;22.6
Zentralschweiz;CH06;Young-age dependency ratio 1st variant (population 0 to 14 years to population 15 to 64 years);Percentage;2022;22.8
Zentralschweiz;CH06;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2016;35.8
Zentralschweiz;CH06;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2020;35.9
Zentralschweiz;CH06;Young-age dependency ratio 2nd variant (population 0 to 19 years to population 20 to 59 years);Percentage;2022;36.3
Zentralschweiz;CH06;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2016;32.5
Zentralschweiz;CH06;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2020;32.3
Zentralschweiz;CH06;Young-age dependency ratio 3rd variant (population 0 to 19 years to population 20 to 64 years);Percentage;2022;32.4
Zentralschweiz;CH06;Young-age dependency ratio 4th variant (population 0 to 24 years to population 25 to 64 years);Percentage;2022;45.0
Ticino;CH07;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2016;54.5
Ticino;CH07;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2020;56.5
Ticino;CH07;Age dependency ratio, 1st variant (population 0 to 14 years and 65 years or over to population 15 to 64 years);Percentage;2022;56.9
Ticino;CH07;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2016;85.9
Ticino;CH07;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2020;89.7
Ticino;CH07;Age dependency ratio, 2nd variant (population 0 to 19 years and 60 years or over to population 20 to 59 years);Percentage;2022;91.5
Ticino;CH07;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2016;67.4
Ticino;CH07;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2020;69.3
Ticino;CH07;Age dependency ratio, 3rd variant (population 0 to 19 years and 65 years or over to population 20 to 64 years);Percentage;2022;69.8
Ticino;CH07;Age dependency ratio, 4th variant (population 0 to 24 years and 65 years or over to population 25 to 64 years);Percentage;2022;86.4
Ticino;CH07;Median age of population - females;Year;2016;46.8
Ticino;CH07;Median age of population - females;Year;2020;48.3
Ticino;CH07;Median age of population - females;Year;2022;49.0
Ticino;CH07;Median age of population;Year;2016;45.8
Ticino;CH07;Median age of population;Year;2020;47.2
Ticino;CH07;Median age of population;Year;2022;47.8
Ticino;CH07;Median age of population - males;Year;2016;44.8
Ticino;CH07;Median age of population - males;Year;2020;46.1
Ticino;CH07;Median age of population - males;Year;2022;46.5
Ticino;CH07;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2016;33.7
Ticino;CH07;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2020;35.9
Ticino;CH07;Old-age dependency ratio 1st variant (population 65 years or over to population 15 to 64 years);Percentage;2022;36.7
Ticino;CH07;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2016;51.6
Ticino;CH07;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2020;55.6
Ticino;CH07;Old-age dependency ratio 2nd variant (population 60 years or over to population 20 to 59 years);Percentage;2022;57.6
Ticino;CH07;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2016;36.5
Ticino;CH07;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2020;38.9
Ticino;CH07;Old-age dependency ratio 3rd variant (population 65 years or over to population 20 to 64 years);Percentage;2022;39.7
Ticino;CH07;Old-age dependency ratio 4th variant (population 65 years or over to population 25 to 64 years);Percentage;2022;43.6
Ticino;CH07;Women per 100 men;Percentage;2016;105.3
Ticino;CH07;Women per 100 men;Percentage;2020;105.4
Ticino;CH07;Women per 100 men;Percentage;2022;105.4
Ticino;CH07;Proportion of population aged 0-14 years;Percentage;2016;13.5
Ticino;CH07;Proportion of population aged 0-14 years;Percentage;2020;13.1
Ticino;CH07;Proportion of population aged 0-14 years;Percentage;2022;12.9
Ticino;CH07;Proportion of population aged 0-19 years;Percentage;2016;18.4
Ticino;CH07;Proportion of population aged 0-19 years;Percentage;2020;18.0
Ticino;CH07;Proportion of population aged 0-19 years;Percentage;2022;17.7
Ticino;CH07;Proportion of population aged 0-4 years;Percentage;2016;4.2
Ticino;CH07;Proportion of population aged 0-4 years;Percentage;2020;3.9
Ticino;CH07;Proportion of population aged 0-4 years;Percentage;2022;3.7
Ticino;CH07;Proportion of population aged 10-14 years;Percentage;2016;4.6
Ticino;CH07;Proportion of population aged 10-14 years;Percentage;2020;4.7
Ticino;CH07;Proportion of population aged 10-14 years;Percentage;2022;4.8
Ticino;CH07;Proportion of population aged 15-19 years;Percentage;2016;5.0
Ticino;CH07;Proportion of population aged 15-19 years;Percentage;2020;4.8
Ticino;CH07;Proportion of population aged 15-19 years;Percentage;2022;4.8
Ticino;CH07;Proportion of population aged 15-24 years;Percentage;2016;10.3
Ticino;CH07;Proportion of population aged 15-24 years;Percentage;2020;10.1
Ticino;CH07;Proportion of population aged 15-24 years;Percentage;2022;10.1
Ticino;CH07;Proportion of population aged 20-24 years;Percentage;2016;5.4
Ticino;CH07;Proportion of population aged 20-24 years;Percentage;2020;5.2
Ticino;CH07;Proportion of population aged 20-24 years;Percentage;2022;5.3
Ticino;CH07;Proportion of population aged 20-39 years;Percentage;2016;22.7
Ticino;CH07;Proportion of population aged 20-39 years;Percentage;2020;21.9
Ticino;CH07;Proportion of population aged 20-39 years;Percentage;2022;21.9
Ticino;CH07;Proportion of population aged 25-29 years;Percentage;2016;5.4
Ticino;CH07;Proportion of population aged 25-29 years;Percentage;2020;5.3
Ticino;CH07;Proportion of population aged 25-29 years;Percentage;2022;5.3
